TREAT,TOP_BRIX,MID_BRIX,BOTTOM_BRIX,JUICE_BRIX,VIT_C,pH
OP,7.2579936,6.8857888,6.1413792,7.2579936,316.0018752,3.57316608
OP,7.444096,6.1413792,5.583072,6.7927376,186.1024,3.48011488
OP,11.0730928,8.5607104,6.8857888,8.7468128,319.9100256,3.954676
OP,7.8163008,7.7232496,7.3510448,7.8163008,226.8588256,4.02911696
X,9.5842736,8.0954544,7.909352,8.1885056,333.4024496,3.91745552
X,11.2591952,9.5842736,9.30512,9.9564784,308.2786256,4.0942528
X,8.374608,7.0718912,6.6066352,7.6301984,316.0018752,4.16869376
X,7.0718912,6.6066352,5.9552768,6.97884,232.628,4.05703232
X,8.0954544,7.444096,6.513584,7.1649424,240.3512496,4.30827056
X,10.0495296,7.8163008,7.1649424,8.374608,300.4623248,4.16869376
X,6.6066352,5.9552768,5.6761232,7.5371472,267.5222,4.28966032
X,6.7927376,5.6761232,4.5595088,5.9552768,288.8309248,4.22452448
X,7.6301984,7.0718912,6.3274816,6.7927376,279.1536,4.06633744
X,9.1190176,8.374608,7.909352,8.5607104,234.5820752,4.07564256
X,8.5607104,8.0024032,7.444096,7.909352,240.3512496,3.97328624
XD,6.7927376,5.583072,5.117816,6.513584,220.9966,3.954676
XD,7.8163008,6.8857888,5.9552768,7.8163008,244.2594,4.11286304
XD,9.3981712,7.5371472,6.513584,7.2579936,285.0158256,4.24313472
XD,6.513584,6.513584,6.513584,6.6066352,327.6332752,4.05703232
XB,8.2815568,7.2579936,6.97884,7.1649424,251.9826496,4.02911696
XB,8.1885056,6.8857888,6.2344304,7.1649424,271.4303504,4.08494768
XB,7.1649424,6.6996864,6.6066352,6.7927376,201.6419504,3.93606576
XB,7.3510448,6.513584,6.4205328,6.8857888,346.9879248,4.17799888
XB,6.513584,6.048328,5.6761232,6.513584,234.5820752,4.03842208
XB,6.6996864,5.6761232,5.4900208,6.1413792,205.4570496,4.28966032
XB,8.1885056,6.7927376,6.3274816,6.97884,226.8588256,4.20591424
XB,7.909352,6.97884,6.3274816,6.3274816,162.8396,4.28966032
XB,9.30512,8.0954544,7.0718912,7.2579936,246.2134752,4.35479616
XB,7.3510448,6.97884,6.6066352,6.7927376,240.3512496,4.187304
XB,8.4676592,7.7232496,6.513584,7.444096,310.1396496,4.17799888
GA3,8.374608,6.3274816,5.8622256,6.6066352,251.9826496,3.96398112
GA3,8.5607104,7.5371472,6.6996864,7.0718912,232.628,3.93606576
GA3,10.700888,7.7232496,6.4205328,7.909352,343.1728256,4.11286304
GA3,9.1190176,7.1649424,6.2344304,7.3510448,201.6419504,3.94537088
GA3,7.2579936,6.6066352,6.4205328,6.513584,286.8768496,4.0012016
GA3,6.6996864,5.6761232,5.583072,7.2579936,193.8256496,4.30827056
GA3,8.7468128,6.7927376,6.2344304,7.1649424,195.7797248,4.17799888
GA3,10.0495296,9.2120688,8.6537616,8.6537616,285.0158256,4.25243984
GA3,9.3981712,8.0024032,6.6996864,8.7468128,279.1536,4.3268808
GA3,7.909352,6.97884,6.2344304,7.1649424,285.0158256,4.30827056
GA3,7.5371472,6.6066352,6.513584,7.2579936,323.7251248,4.15938864
GA3,7.5371472,6.513584,6.2344304,6.7927376,248.1675504,4.02911696
GA3,9.3981712,8.839864,8.5607104,9.30512,440.0391248,3.70343776
GA3,6.97884,6.2344304,6.048328,6.97884,255.8908,4.0012016
GA3,12.8410656,11.5383488,11.0730928,11.6314,352.8501504,3.98259136
GA3,7.6301984,6.513584,6.3274816,7.1649424,356.6652496,4.05703232
GA3,7.8163008,6.97884,6.4205328,7.0718912,286.8768496,4.02911696
GA3,12.0036048,9.0259664,6.513584,7.7232496,220.9966,4.21521936
GA3,8.4676592,7.8163008,6.97884,8.374608,298.5082496,3.92676064
GA3,9.5842736,8.4676592,7.909352,8.9329152,211.3192752,4.11286304
GA3,8.374608,6.513584,6.048328,6.8857888,234.5820752,4.17799888
GA3,10.9800416,6.513584,6.4205328,7.7232496,277.1995248,4.1407784
GA3,9.9564784,7.7232496,7.3510448,8.0954544,207.4111248,4.16869376
GA3,8.374608,7.2579936,6.97884,8.0954544,244.2594,4.17799888
GA3,8.5607104,6.7927376,6.4205328,7.6301984,273.2913744,4.17799888
GA3,12.1897072,7.8163008,6.4205328,8.4676592,251.9826496,4.06633744
GA3,7.1649424,6.6066352,5.4900208,7.3510448,188.0564752,4.02911696
