TREAT,FRUIT_WEIGHT,FRUIT_LENGTH,SEED_CELL_LENGTH,FRUIT_WIDTH,SEED_CELL_WIDTH,FRUIT_WALL_THICK,SEED_AMOUNT,SEED_AMOUNT_100g
OP,128.5037072,6.1413792,1.6749216,6.1413792,2.6054336,1.7679728,13.95768,10.1425808
OP,393.8857296,9.2120688,2.4193312,8.6537616,2.791536,2.8845872,20.471264,4.8386624
OP,224.8116992,6.97884,1.1166144,7.3510448,0.930512,3.256792,0,0
OP,120.4082528,5.6761232,2.0471264,6.3274816,2.5123824,2.1401776,13.027168,10.0495296
X,162.5604464,5.9552768,2.791536,6.7927376,2.8845872,1.9540752,16.749216,9.5842736
X,311.9076224,7.1649424,3.256792,8.9329152,3.6289968,2.6054336,52.108672,15.5395504
X,267.8944048,6.8857888,2.791536,8.1885056,3.256792,2.4193312,28.845872,10.0495296
X,138.5532368,5.583072,1.4888192,6.6066352,1.7679728,2.4193312,13.95768,9.3981712
X,103.4729344,4.8386624,1.6749216,6.2344304,1.7679728,2.1401776,8.374608,7.5371472
X,147.951408,5.3969696,1.2096656,6.8857888,2.6054336,2.1401776,0,0
X,162.6534976,5.8622256,1.9540752,6.97884,2.9776384,2.0471264,26.984848,15.4464992
X,291.6224608,6.97884,3.9081504,8.374608,3.256792,2.8845872,13.95768,4.4664576
X,199.3156704,6.6066352,2.2332288,7.1649424,2.4193312,2.32628,21.401776,9.9564784
X,216.0648864,6.7927376,2.0471264,7.3510448,2.32628,2.5123824,9.30512,4.0012016
X,159.117552,5.9552768,2.2332288,6.6996864,2.1401776,2.1401776,26.984848,15.818704
X,217.6467568,6.6996864,2.2332288,7.2579936,2.8845872,2.1401776,17.679728,7.5371472
X,138.4601856,5.4900208,2.32628,6.3274816,1.861024,1.861024,36.289968,24.3794144
XDW,167.3991088,5.8622256,1.4888192,6.6996864,2.0471264,2.32628,19.540752,10.8869904
XDW,265.2889712,7.1649424,1.9540752,8.2815568,3.1637408,2.32628,25.123824,8.839864
XDW,406.7267952,8.0024032,2.2332288,10.0495296,2.9776384,4.0012016,8.374608,1.9540752
XDW,212.621992,6.6066352,1.6749216,7.5371472,1.861024,2.791536,0,0
XDW,96.5871456,4.5595088,1.7679728,6.048328,2.0471264,2.2332288,13.95768,13.492424
XB,132.132704,5.3039184,2.0471264,6.2344304,2.6054336,1.861024,37.22048,26.2404384
XB,153.999736,6.048328,2.0471264,6.8857888,2.791536,2.0471264,18.61024,11.2591952
XB,181.1706864,5.8622256,2.32628,7.2579936,2.791536,2.2332288,46.5256,23.9141584
XB,137.8088272,5.2108672,1.4888192,6.7927376,1.5818704,2.6054336,0,0
XB,217.9259104,5.7691744,0.8374608,7.8163008,1.1166144,3.3498432,0,0
XB,159.3967056,5.9552768,1.7679728,7.2579936,1.2096656,2.9776384,0,0
XB,167.3060576,5.7691744,1.2096656,7.6301984,0.8374608,3.3498432,0,0
XB,131.202192,5.583072,1.4888192,6.6066352,1.395768,2.5123824,12.096656,8.5607104
XB,227.4171328,5.7691744,1.1166144,7.8163008,1.4888192,3.0706896,0,0
XB,187.7773216,6.6066352,2.0471264,6.6996864,2.5123824,2.0471264,29.776384,14.7951408
XB,298.0429936,6.97884,2.0471264,8.374608,2.4193312,2.8845872,6.513584,2.0471264
XB,317.0254384,7.2579936,1.7679728,8.9329152,3.3498432,2.6984848,11.166144,3.256792
XB,217.9259104,6.513584,2.0471264,7.5371472,1.861024,2.6054336,29.776384,12.7480144
XB,243.1427856,6.97884,1.3027168,7.6301984,1.6749216,2.791536,3.722048,1.395768
GA3,339.0785728,7.444096,1.861024,8.7468128,3.256792,2.6984848,0,0
GA3,399.0035456,8.7468128,2.2332288,9.30512,2.6054336,3.3498432,0,0
GA3,317.8628992,8.5607104,2.791536,8.5607104,2.0471264,3.256792,0,0
GA3,121.431816,5.6761232,2.1401776,6.048328,1.9540752,3.0706896,0,0
GA3,170.9350544,7.1649424,1.6749216,7.444096,1.1166144,3.1637408,0,0
GA3,338.1480608,8.0954544,2.32628,9.2120688,1.7679728,2.8845872,0,0
GA3,278.1300368,5.7691744,1.395768,7.1649424,1.0235632,2.1401776,2.791536,0.930512
GA3,198.4782096,7.2579936,2.4193312,6.4205328,1.7679728,2.32628,0,0
GA3,272.8261184,7.6301984,1.5818704,8.0954544,2.5123824,2.791536,0.930512,0.2791536
GA3,326.7958144,8.0024032,2.9776384,8.5607104,2.6054336,2.9776384,0,0
GA3,119.570792,4.65256,0.930512,6.1413792,0.930512,2.6054336,0,0
GA3,239.60684,7.2579936,2.2332288,7.5371472,2.6984848,2.4193312,0,0
GA3,171.3072592,6.4205328,1.861024,6.8857888,1.1166144,2.8845872,0,0
GA3,295.0653552,7.444096,1.5818704,8.0954544,1.9540752,3.0706896,2.791536,0.8374608
GA3,181.1706864,5.6761232,0.5583072,7.1649424,0.465256,3.3498432,0.930512,0.465256
GA3,378.9044864,8.5607104,1.7679728,8.839864,1.7679728,3.5359456,0,0
GA3,326.8888656,7.8163008,1.3027168,8.7468128,0.930512,4.3734064,0,0
GA3,306.4176016,8.0024032,1.9540752,8.4676592,1.0235632,3.722048,0,0
GA3,559.6099168,10.6078368,1.5818704,10.5147856,2.9776384,3.8150992,0,0
GA3,155.7677088,NA,NA,NA,NA,NA,0,0
GA3,202.2002576,NA,NA,NA,NA,NA,0,0
GA3,282.1312384,NA,NA,NA,NA,NA,0,0
GA3,214.948272,NA,NA,NA,NA,NA,0,0
GA3,145.159872,5.4900208,2.32628,6.513584,2.0471264,2.2332288,0,0
GA3,213.087248,6.4205328,1.0235632,7.6301984,0.930512,3.3498432,0,0
GA3,215.3204768,6.513584,1.3027168,7.7232496,1.0235632,3.3498432,0,0
GA3,226.6727232,6.97884,1.395768,7.3510448,1.3027168,3.0706896,0,0
GA3,247.7953456,6.513584,0.930512,8.0024032,0.930512,3.5359456,0,0
GA3,265.0098176,7.444096,1.861024,8.1885056,2.32628,2.9776384,0,0
GA3,274.035784,6.97884,1.9540752,7.7232496,1.9540752,2.8845872,0,0
GA3,274.2218864,8.0024032,2.1401776,7.5371472,1.395768,3.0706896,0,0
GA3,279.9910608,7.444096,2.6054336,7.8163008,2.2332288,2.791536,0,0
GA3,298.9735056,7.909352,1.395768,8.374608,0.930512,3.722048,0,0
GA3,301.2997856,7.909352,1.9540752,8.0954544,2.791536,2.791536,0,0
GA3,348.7558976,7.444096,2.0471264,8.4676592,2.791536,2.791536,0,0
GA3,363.7371408,8.839864,2.4193312,9.30512,1.861024,3.722048,0,0
GA3,295.5306112,7.1649424,2.0471264,8.5607104,1.1166144,3.722048,0,0
GA3,314.1408512,7.444096,1.2096656,8.1885056,0.930512,3.6289968,0,0
GA3,412.3098672,8.2815568,2.791536,9.1190176,2.791536,3.6289968,0,0
GA3,326.0514048,7.5371472,2.0471264,8.374608,2.32628,3.256792,0,0
GA3,362.1552704,7.7232496,2.1401776,8.839864,2.32628,3.256792,0,0
GA3,441.9001488,7.909352,2.4193312,9.30512,2.2332288,3.5359456,0,0
GA3,309.1160864,8.2815568,2.5123824,8.0024032,1.9540752,3.0706896,0,0
